Model,Accuracy,Precision,Recall,ROC-AUC,F1
LogisticRegression,0.999280209265989,0.8701298701298701,0.6836734693877551,0.9654113162068373,0.7657142857142857
RandomForest,0.9995435473394076,0.9285714285714286,0.7959183673469388,0.9523246348994199,0.8571428571428571
SVC,0.999420656238479,0.9333333333333333,0.7142857142857143,0.9274390972645675,0.8092485549132948
CatBoost,0.9995435473394076,0.9186046511627907,0.8061224489795918,0.982213964318823,0.8586956521739131
LGBM,0.9962781552290163,0.2625,0.6428571428571429,0.8163181861739296,0.3727810650887574
